Movie Name,Storyline
Smile 2,embark world tour global pop sensation skye riley begin experience increasingly terrify inexplicable events overwhelm escalate horrors pressure fame skye force face past
A Real Pain,mismatch cousins reunite tour poland honor beloved grandmother old tensions resurface backdrop family history
Fly Me to the Moon,market maven kelly jones wreak havoc nasa launch director cole daviss already difficult task white house deem mission important fail countdown truly begin
I Was a Stranger,five strangers pull together collide single night survival uncertain
The Luckiest Man in America,may 1984 unemployed ice cream truck driver step onto game show press luck harbor secret key endless money win streak threaten bewilder executives uncover real motivations
Dooba Dooba,inhome security cameras watch awkward sixteen year old girl terrorize well mean babysitter
Caddo Lake,8yearold girl disappear caddo lake series past deaths disappearances begin link together alter break familys history
Presence,family become convince alone move new home suburbs
Moana 2,receive unexpected call wayfinding ancestors moana must journey far seas oceania dangerous longlost water adventure unlike anything shes ever face
IF,young girl go difficult experience begin see everyones imaginary friends leave behind reallife friends grow
Madame Web,force confront past cassandra webb manhattan paramedic may clairvoyant abilities form relationship three young women destine powerful futures survive threaten present
Elevation,single father two women venture safety home face monstrous creatures save life young boy
From the Ashes,seemingly normal school day end unthinkable disaster mysterious fire break school basement chaos panic confusion prevail among students teachers
Kingdom of the Planet of the Apes,many years reign caesar young ape go journey lead question everything hes teach past make choices define future ape humans alike
Love Lies Bleeding,reclusive gym manager lou fall hard jackie ambitious bodybuilder head town vegas pursuit dream love ignite violence pull deep web lous criminal family
The Last Showgirl,season showgirl must plan future show abruptly close 30year run
Kung Fu Panda 4,po tap become spiritual leader valley peace need find train new dragon warrior wicked sorceress plan resummon master villains po vanquish spirit realm
Freaky Tales,four interconnect stories set 1987 oakland ca tell love music movies people place memories beyond knowable universe
Horizon: An American Saga - Chapter 1,chronicle multifaceted 15year span preand postcivil war expansion settlement american west
The Fable,discover burn tree orchards wealthy landowner grow suspicious workers nomads pass vast estate
Megalopolis,city new rome face duel cesar catilina brilliant artist favor utopian future greedy mayor franklyn cicero julia cicero loyalty divide father beloved
Fight or Flight,mercenary take job track target plane must protect target theyre surround people try kill
Sleeping Dogs,exhomicide detective memory loss force solve brutal murder uncover chill secrets forget past
The Return,20 years odysseus finally return ithaca find wife hold prisoner suitors vie king son face death hand win back family lose odysseus must rediscover strength
Mufasa: The Lion King,mufasa cub lose alone meet sympathetic lion name taka heir royal bloodline chance meet set motion expansive journey group misfits search destiny
Argylle,reclusive author write espionage novels secret agent global spy syndicate realize plot new book shes write start mirror realworld events real time
Shelby Oaks,womans obsessive search miss sister lead terrify mystery hand unknown evil
Strange Harvest,detectives thrust chill hunt mr shinya sadistic serial killer past whose return mark begin new wave grotesque otherworldly crimes tie dark cosmic force
Emilia Pérez,follow three remarkable women mexico pursue happiness cartel leader emilia enlist unappreciated lawyer rita help fake death finally live authentically true self
Transformers One,untold origin story optimus prime megatron better know swear enemies friends bond like brothers change fate cybertron forever
On Swift Horses,muriel husband lee begin bright new life upend arrival lees brother muriel embark secret life gamble racehorses discover love never think possible
Bad Boys: Ride or Die,late police captain get link drug cartels wisecrack miami cop mike lowrey marcus burnett embark dangerous mission clear name
Queer,1950s mexico city american immigrant late forties lead solitary life amidst small american community however arrival young student stir man finally establish meaningful connection someone
It's What's Inside,group friends gather prewedding party descend existential nightmare estrange friend arrive mysterious game awaken longhidden secrets desire grudge
